Date,Close/Last,Volume,Open,High,Low
04/28/2025,$112.08,3241285,$112.53,$114.18,$110.01
04/25/2025,$113.34,3908380,$112.00,$114.83,$110.56
04/24/2025,$112.01,5047646,$107.36,$112.50,$106.98
04/23/2025,$105.16,5140745,$106.40,$109.86,$104.67
04/22/2025,$100.55,3808524,$98.22,$101.847,$97.9035
04/21/2025,$96.83,4231800,$99.79,$100.23,$95.32
04/17/2025,$100.73,3124931,$102.26,$102.26,$98.8401
04/16/2025,$101.00,4881728,$98.00,$101.71,$97.895
04/15/2025,$103.80,3092066,$104.81,$106.3142,$102.66
04/14/2025,$105.06,3674719,$108.21,$109.46,$102.86
04/11/2025,$103.99,6481201,$100.00,$105.665,$98.802
04/10/2025,$100.46,8620945,$98.90,$102.00,$95.345
04/09/2025,$106.59,13935050,$85.615,$107.9401,$85.19
04/08/2025,$85.82,8447500,$94.375,$96.5502,$84.117
04/07/2025,$88.63,9081667,$80.92,$94.14,$80.00
04/04/2025,$87.71,12485980,$91.65,$95.38,$84.3901
04/03/2025,$97.72,8088131,$101.16,$103.24,$97.33
04/02/2025,$108.14,2350625,$104.38,$110.1349,$104.38
04/01/2025,$106.98,4236103,$105.72,$108.4699,$103.58
03/31/2025,$106.79,4662707,$104.00,$106.93,$101.3638
03/28/2025,$107.80,4624071,$111.50,$113.1763,$106.73
